Gare du Nord,Gare de l'Est (Verdun),0.31715430773197983
Gare de l'Est (Verdun),Jacques-Bonsergent,0.7005560669312272
Jacques-Bonsergent,République,0.4167978779664684
République,Oberkampf,0.4058811538579706
Oberkampf,Richard-Lenoir,0.5904035971592512
Richard-Lenoir,Bréguet-Sabin,0.45180629443928594
Bréguet-Sabin,Bastille,0.39370649021546295
Bastille,Quai de la Rapée,0.8416471739880719
Quai de la Rapée,Gare d'Austerlitz,0.34678406367396997
Gare d'Austerlitz,Saint-Marcel,0.6005626691092347
Saint-Marcel,Campo-Formio,0.36003797118836395
Campo-Formio,Place d'Italie,0.5324157419999367
Nation,Picpus,0.37748385858254063
Picpus,Bel-Air,0.4378247386547953
Bel-Air,Daumesnil (Félix Eboué),0.43646517457632217
Daumesnil (Félix Eboué),Dugommier,0.4746143878670951
Dugommier,Bercy,0.7369867895766647
Bercy,Quai de la Gare,0.501602203685188
Quai de la Gare,Chevaleret,0.5143497751492437
Chevaleret,Nationale,0.5083237295631032
Nationale,Place d'Italie,0.4887906435253454
Place d'Italie,Corvisart,0.40331488183647846
Corvisart,Glacière,0.5701888821976554
Glacière,Saint-Jacques,0.5096223448209507
Saint-Jacques,Denfert-Rochereau,0.27582306320878136
Denfert-Rochereau,Raspail,0.5740576584711145
Raspail,Edgar-Quinet,0.3649467080466934
Edgar-Quinet,Montparnasse-Bienvenue,0.4054160420377039
Montparnasse-Bienvenue,Pasteur,0.5811281963379277
Pasteur,Sèvres-Lecourbe,0.3762057542136892
Sèvres-Lecourbe,Cambronne,0.712299147574533
Cambronne,La Motte-Picquet-Grenelle,0.34564149936004746
La Motte-Picquet-Grenelle,Dupleix,0.3375297868983107
Dupleix,Bir-Hakeim (Grenelle),0.5627607246417022
Bir-Hakeim (Grenelle),Passy,0.427280212786545
Passy,Trocadéro,0.583617516944376
Trocadéro,Boissière,0.508104654961105
Boissière,Kléber,0.550294997457793
Kléber,Charles de Gaulle-Etoile,0.2875215353808673
La Courneuve-8-Mai-1945,Fort d'Aubervilliers,0.8669699164744807
Fort d'Aubervilliers,Aubervilliers Pantin (4 Chemins),1.3904849058063105
Aubervilliers Pantin (4 Chemins),Porte de la Villette,0.8666775593969983
Porte de la Villette,Corentin-Cariou,0.39991705147722617
Corentin-Cariou,Crimée,0.6337301696506397
Crimée,Riquet,0.27171132006636006
Riquet,Stalingrad,0.6295161171745616
Stalingrad,Louis Blanc,0.44727754865088193
Louis Blanc,Château Landon,0.351699741603799
Château Landon,Gare de l'Est (Verdun),0.31892908232020223
Gare de l'Est (Verdun),Poissonnière,0.7100997466341112
Poissonnière,Cadet,0.47296181999961273
Cadet,Le Peletier,0.2521194533899218
Le Peletier,Chaussée d'Antin (La Fayette),0.539081545831086
Chaussée d'Antin (La Fayette),Opéra,0.2772435367614095
Opéra,Pyramides,0.4655048571918619
Pyramides,Palais-Royal (Musée du Louvre),0.36038601141291093
Palais-Royal (Musée du Louvre),Pont Neuf,0.7257127521868897
Pont Neuf,Châtelet,0.4018561462882553
Châtelet,Pont Marie (Cité des Arts),0.8516673660842141
Pont Marie (Cité des Arts),Sully-Morland,0.4093924929669086
Sully-Morland,Jussieu,0.7135543495451648
Jussieu,Place Monge (Jardin des Plantes),0.3689637913006417
Place Monge (Jardin des Plantes),Censier-Daubenton,0.2869774669275825
Censier-Daubenton,Les Gobelins,0.49723924670877373
Les Gobelins,Place d'Italie,0.5616451661951188
Place d'Italie,Tolbiac,0.6121968658878536
Tolbiac,Maison Blanche,0.3729456418082976
Maison Blanche,Le Kremlin-Bicêtre,1.416046870715895
Le Kremlin-Bicêtre,Villejuif-Léo Lagrange,0.7511547251169917
Villejuif-Léo Lagrange,Villejuif-Paul Vaillant Couturier (Hôpital Paul Brousse),0.9206876474163983
Villejuif-Paul Vaillant Couturier (Hôpital Paul Brousse),Villejuif-Louis Aragon,1.0435385690406338
Balard,Lourmel,0.33246322175199955
